,DBC,EEM,EFA,GLD,IEF,IWM,QQQ,SPY,TLT,VNQ
2007-08-27,0.0,0.0,0.0,0.0,0.39377478988260234,0.0,0.0,0.6062252101173977,0.0,0.0
2007-08-28,0.0,0.0,0.0,0.0,0.40032382107358266,0.0,0.0,0.5996761789264173,0.0,0.0
2007-08-29,0.0,0.0,0.0,0.0,0.39475603724397473,0.0,0.0,0.6052439627560252,0.0,0.0
2007-08-30,0.0,0.0,0.0,0.0,0.39659020841130355,0.0,0.0,0.6034097915886965,0.0,0.0
2007-08-31,0.0,0.0,0.0,0.0,0.39430301913906146,0.0,0.0,0.6056969808609386,0.0,0.0
2007-09-04,0.0861768915600876,0.0,2.76623181119526e-18,0.009799267004972342,0.3981772723031656,1.677586660874018e-18,3.036419894983884e-19,0.2213938926025879,0.28445267652918654,0.0
2007-09-05,0.0860824711882294,0.0,2.7178174006437596e-18,0.009787111087676216,0.39944471121160074,1.657009741358842e-18,2.9967982043961044e-19,0.21881658339679252,0.28586912311570106,0.0
2007-09-06,0.0858573743353373,0.0,2.731282530493149e-18,0.009987721989621728,0.3990810758742218,1.659470419960293e-18,2.998049248100138e-19,0.21959014772860577,0.2854836800722134,0.0
2007-09-07,0.08591317059516092,0.0,2.682303885798636e-18,0.010005537708410318,0.40099087819854246,1.6225958134743198e-18,2.925263713851849e-19,0.21526574175450372,0.2878246717433826,0.0
2007-09-10,0.08621753701131414,0.0,2.6623075719214474e-18,0.010005265487880055,0.4005500222816747,1.5947213079988294e-18,2.9137066951710076e-19,0.21413739796281014,0.289089777256321,0.0
2007-09-11,0.08626315559907885,0.0,2.7035469740492554e-18,0.010116870471038498,0.39900285619983983,1.6197608432165092e-18,2.952658572394336e-19,0.21625534305101524,0.2883617746790276,0.0
2007-09-12,0.08723245310325772,0.0,2.7079319753373745e-18,0.010114327719568543,0.3982546852781126,1.6105496428627971e-18,2.955034753886239e-19,0.21694253640785832,0.28745599749120276,0.0
2007-09-13,0.08693399212814136,0.0,2.7305374845134737e-18,0.010101252654583287,0.3975355139826424,1.6211538806748341e-18,2.981767224287801e-19,0.2193690467086538,0.28606019452597925,0.0
2007-09-14,0.08691529793742038,0.0,2.711951093500392e-18,0.010078481127482226,0.3976688743674148,1.627918030696215e-18,2.9812945802119927e-19,0.21914113952459796,0.2861962070430846,0.0
2007-09-17,0.08779500703563008,0.0,2.6696101312238964e-18,0.010203405389814194,0.3972738768579508,1.6074389755205915e-18,2.9517744247413775e-19,0.21761842385291005,0.28710928686369486,0.0
2007-09-18,0.08774988149955373,0.0,2.7447407030493284e-18,0.010264687200621521,0.3951684366460252,1.6688153872784123e-18,3.0133390181197134e-19,0.2230759353447875,0.28374105930901217,0.0
2007-09-19,0.08867921907959399,0.0,2.7750963402367245e-18,0.01024656274379407,0.3945521675676313,1.6945944698573267e-18,3.0272327717361475e-19,0.2248433111224458,0.2816787394865349,0.0
2007-09-20,0.09094720722542692,0.0,2.800162020209051e-18,0.010535008060984558,0.393954645295662,1.6944019772222409e-18,3.048707170892371e-19,0.22547274707592282,0.27909039234200367,0.0
2007-09-21,0.0910706084721842,0.0,2.796851907052882e-18,0.010422169019590383,0.3937642803207874,1.6886054096114595e-18,3.053481663332178e-19,0.22483461621194187,0.2799083259754961,0.0
